n√∫mero; t√≠tulo; autor; editora; edi√ß√£o; ano; p√°ginas; pre√ßo (R$); total (R$)
51; artes marciais mistas: os segredos do mma; Mickey Dimic com Cristopher Miller; Editora Madras; 1a ed.; 2011; 240 pag.; R$ 25
52; as crìnicas de gelo e fogo vol. 1: a guerra dos tronos; George R. R. Martin; Editora Leya; 1a ed.; 2012; 1066 pag.; R$ 20
53; as crìnicas de gelo e fogo vol. 2: a f£ria dos reis; George R. R. Martin; Editora Leya; 1a ed.; 2012; 1190 pag.; R$ 20
54; as crìnicas de gelo e fogo vol. 3: a tormenta de espadas; George R. R. Martin; Editora Leya; 1a ed.; 2012; 1474 pag.; R$ 20
55; as crìnicas de gelo e fogo vol. 4: o festim dos corvos; George R. R. Martin; Editora Leya; 1a ed.; 2012; 1099 pag.; R$ 20
56; as crìnicas de gelo e fogo vol. 5: a danáa dos drag‰es; George R. R. Martin; Editora Leya; 1a ed.; 2012; 1448 pag.; R$ 20
57; ataque e contra-ataque no xadrez; Fred Reinfeld; Editora Ibrasa; 19a ed.; 2005; 168 pag.; R$ 25
58; atemis e jiu-jitsu; Robert Lasserre; Editora Mestre Jou; 2a ed.; 1976; 249 pag.; R$ 200
59; atemis y jiu jitsu; Robert Lasserre; Editora Hispano Europea; 3a ed.; 1965; 247 pag.; R$ 50
60; ate°smo uma breve introduá∆o; Julian Baggini; Editora L&PM; 1a ed.; 2016; 141 pag.; R$ 20
61; atlas de bolso de anatomia humana; Heinz Feneis e Wolfgang Dauber; Editora Manole; 4a ed.; 2002; 493 pag.; R$ 20
62; bechara para concursos: enem, vestibular e todo tipo de prova de portugàs; Evanildo Bechara; Editora Nova Fronteira; 1a ed.; 2019; 736 pag.; R$ 30
63; bib. j£lio verne: a escola dos robinsons; J£lio Verne; Editora RBA; 1a ed.; 2003; 288 pag.; R$ 20
64; bib. j£lio verne: a ilha misteriosa o abandonado; J£lio Verne; Editora RBA; 1a ed.; 2003; 303 pag.; R$ 20
65; bib. j£lio verne: a ilha misteriosa o segredo da ilha; J£lio Verne; Editora RBA; 1a ed.; 2003; 284 pag.; R$ 20
66; bib. j£lio verne: a ilha misteriosa os n†lfragos; J£lio Verne; Editora RBA; 1a ed.; 2003; 304 pag.; R$ 20
67; bib. j£lio verne: a volta ao mundo em 80 dias; J£lio Verne; Editora RBA; 1a ed.; 2003; 255 pag.; R$ 20
68; bib. j£lio verne: as atribulaá‰es de um chinàs na china; J£lio Verne; Editora RBA; 1a ed.; 2003; 207 pag.; R$ 20
69; bib. j£lio verne: as aventuras do capit∆o hatteras - o deserto de gelo; J£lio Verne; Editora RBA; 1a ed.; 2003; 301 pag.; R$ 20
70; bib. j£lio verne: as aventuras do capit∆o hatteras - os ingleses no p¢lo norte; J£lio Verne; Editora RBA; 1a ed.; 2003; 318 pag.; R$ 20
71; bib. j£lio verne: cinco semanas em bal∆o; J£lio Verne; Editora RBA; 1a ed.; 2003; 304 pag.; R$ 20
72; bib. j£lio verne: da terra Ö lua; J£lio Verne; Editora RBA; 1a ed.; 2003; 287 pag.; R$ 20
73; bib. j£lio verne: miguel strogoff; J£lio Verne; Editora RBA; 1a ed.; 2003; 351 pag.; R$ 20
74; bib. j£lio verne: os filhos do capit∆o grant na amÇrica do sul; J£lio Verne; Editora RBA; 1a ed.; 2003; 303 pag.; R$ 20
75; bib. j£lio verne: os filhos do capit∆o grant na austr†lia meridional; J£lio Verne; Editora RBA; 1a ed.; 2003; 303 pag.; R$ 20
76; bib. j£lio verne: os filhos do capit∆o grant no oceano pac°fico; J£lio Verne; Editora RBA; 1a ed.; 2003; 270 pag.; R$ 20
77; bib. j£lio verne: os quinhentos milh‰es da begun; J£lio Verne; Editora RBA; 1a ed.; 2003; 254 pag.; R$ 20
78; bib. j£lio verne: um her¢i de quinze anos; J£lio Verne; Editora RBA; 1a ed.; 2002; 396 pag.; R$ 20
79; bib. j£lio verne: viagem ao centro da terra; J£lio Verne; Editora RBA; 1a ed.; 2003; 268 pag.; R$ 20
80; bib. j£lio verne: vinte mil lÇguas submarinas; J£lio Verne; Editora RBA; 1a ed.; 2003; 528 pag.; R$ 20
81; bib. j£lio verne: Ö roda da lua; J£lio Verne; Editora RBA; 1a ed.; 2003; 254 pag.; R$ 20
82; bio vol. £nico; Sìnia G. B. C. Lopes; Editora Saraiva; 2a ed.; 1995; 559 pag.; R$ 5
83; biologia vol. 3: genÇtica, evoluá∆o e ecologia; Amabis, Martho e Mizuguchi; Editora Moderna; 2a ed.; 1979; 469 pag.; R$ 10
84; bioqu°mica; Klaus Dose; Editora EPU-Springer-EDUSP; 1a ed.; 1982; 296 pag.; R$ 10
85; bobby fisher ensina xadrez; Bobby Fisher; Editora Cedibra; 1a ed.; 1972; 334 pag.; R$ 150
86; boliche em 10 liá‰es; Don Carter; Editora Best Seller; 1a ed.; 1964; 108 pag.; R$ 20
87; boxe ao alcanáo de todos; A. Latorre de Faria; Editora Ediouro; 1a ed.; ; 115 pag.; R$ 25
88; brazilian jiu-jitsu e defesa pessoal vol. 1; AndrÇ Fernando Brand∆o e Ricardo Juc†; Editora Freitas Bastos; 1a ed.; 2000; 105 pag.; R$ 30
89; b°blia de estudos thompson; ; Editora Vida; 2a ed.; 2011; 1703 pag.; R$ 100
90; c completo e total; Herbert Schildt; Editora Pearson; 3a ed.; 2010; 827 pag.; R$ 400
91; c++ como programar; Paul e Harvey Deitel; Editora Pearson; 5a ed.; 2006; 1163 pag.; R$ 400
92; c, a linguagem de programaá∆o: padr∆o ansi ; Brian W. Kernighan e Dennis M. Ritchie; Editora Elsevier; 2a ed.; 1989; 289 pag.; R$ 30
93; c.q.d explicaá‰es e demonstraá‰es sobre conceitos, teoremas e f¢rmulas essenciais da geometria; Gilberto G. Garbi; Editora Livraria da F°sica; 1a ed.; 2010; 403 pag.; R$ 30
94; calculo diferencial e integral de funá‰es de v†rias vari†veis; Diomara Pinto e Maria CÉndida Ferreira Morgado; Editora UFRJ; 3a ed.; 2009; 348 pag.; R$ 35
95; calculo diferencial e integral vol. 1; Richard Courant; Editora Globo; 1a ed.; 1963; 616 pag.; R$ 25
96; calculo diferencial e integral vol. 1; Paulo Boulos; Editora Pearson Makron Books; 1a ed.; 2004; 381 pag.; R$ 20
97; calculo diferencial e integral vol. 2; Richard Courant; Editora Globo; 1a ed.; 1963; 683 pag.; R$ 25
98; calculo tensorial; Elon Lages Lima; Editora IMPA; 3a ed.; 2012; 248 pag.; R$ 20
99; capoeira sem mestre; Lamrtine P. da Costa; Editora Ediouro; 1a ed.; ; 102 pag.; R$ 25
100; cartas filos¢ficas; Voltaire; Editora Escala; 1a ed.; 2006; 164 pag.; R$ 5
101; ciància e fÇ: milagres e mensagens; Nilson Dimarzio; Editora Nova Gr†fica; 1a ed.; 2005; 190 pag.; R$ 5
102; ciància pol°tica; Paulo Bonavides; Editora Fundaá∆o Get£lio Vargas; 2a ed.; 1974; 627 pag.; R$ 30
103; ciàncias para pais e filhos; Carol Vorderman; Editora Publifolha; 1a ed.; 2013; 256 pag.; R$ 50
104; coleá∆o enem vocà na universidade: ciàncias da natureza; ; Editora Ala£de; 1a ed.; 2017; 95 pag.; R$ 5
105; coleá∆o enem vocà na universidade: ciàncias humanas e suas tecnologias; ; Editora Ala£de; 1a ed.; 2017; 95 pag.; R$ 5
106; coleá∆o enem vocà na universidade: linguagens, c¢digos e suas tecnologias; ; Editora Ala£de; 1a ed.; 2017; 95 pag.; R$ 5
107; coleá∆o enem vocà na universidade: matem†tica e suas tecnologias; ; Editora Ala£de; 1a ed.; 2017; 95 pag.; R$ 5
108; coleá∆o objetivo fichas-resumo 1; ; Editora CERED; 1a ed.; ; 208 pag.; R$ 30
109; coleá∆o objetivo fichas-resumo 2; ; Editora CERED; 1a ed.; ; 370 pag.; R$ 30
110; coleá∆o profmat aritmÇtica; Abramo Hefez; Editora SBM; 1a ed.; 2014; 338 pag.; R$ 30
111; coleá∆o profmat geometria; Antìnio Caminha Muniz Neto; Editora SBM; 1a ed.; 2013; 502 pag.; R$ 50
112; coleá∆o profmat matem†tica discreta; Augusto C. Morgado e Paulo Cezar P. Carvalho; Editora SBM; 1a ed.; 2013; 204 pag.; R$ 30
113; coleá∆o profmat n£meros e funá‰es reais; Elon Lages Lima; Editora SBM; 1a ed.; 2013; 297 pag.; R$ 30
114; coleá∆o schaum an†lise vetorial; Murray R. Spiegel; Editora Ao Livro TÇcnico; 2a ed.; 1969; 300 pag.; R$ 30
115; coleá∆o schaum circuitos elÇtricos; Joseph A. Edminister; Editora McGraw-Hill; 3a ed.; 1972; 442 pag.; R$ 20
116; coleá∆o schaum cobol estruturado; Lawrence R. Newcomer; Editora McGraw-Hill; 1a ed.; 1985; 466 pag.; R$ 20
117; coleá∆o schaum computadores e programaá∆o; Francis Scheid; Editora McGraw-Hill; 1a ed.; 1984; 322 pag.; R$ 25
118; coleá∆o schaum c†lculo diferencial e integral; Frank Ayres Jr.; Editora Ao Livro TÇcnico; 2a ed.; 1966; 371 pag.; R$ 30
119; coleá∆o schaum elementos orgÉnicos de m†quinas; Hall, Holowenko e Laughlin; Editora Ao Livro TÇcnico; 1a ed.; 1968; 588 pag.; R$ 20
120; coleá∆o schaum eletricidade b†sica; Milton Gussow; Editora Pearson Makron Books; 2a ed.; 1997; 639 pag.; R$ 30
121; coleá∆o schaum engenharia de software; David A. Gustafson; Editora Bookman; 1a ed.; 2003; 207 pag.; R$ 25
122; coleá∆o schaum equaá‰es diferenciais; Frank Ayres Jr.; Editora Ao Livro TÇcnico; 1a ed.; 1958; 397 pag.; R$ 30
123; coleá∆o schaum estat°stica; Murray R. Spiegel; Editora McGraw-Hill; 1a ed.; 1977; 580 pag.; R$ 20
124; coleá∆o schaum f°sica; Daniel Schaum; Editora Ao Livro TÇcnico; 1a ed.; 1946; 280 pag.; R$ 10
125; coleá∆o schaum f°sica geral; Schaum/Van Der Merwe; Editora McGraw-Hill; 2a ed.; 1975; 430 pag.; R$ 15
126; coleá∆o schaum geometria anal°tica; Joseph H. Kindle; Editora McGraw-Hill; 2a ed.; 1974; 244 pag.; R$ 20
127; coleá∆o schaum l¢gica; John Nolt e Dennis Rohatyn; Editora Makron Books; 1a ed.; 1991; 596 pag.; R$ 200
128; coleá∆o schaum macroeconomia; Eugene A. Diulio; Editora McGraw-Hill; 2a ed.; 1977; 268 pag.; R$ 40
129; coleá∆o schaum manual de f¢rmulas e tabelas matem†ticas; Murray R. Spiegel; Editora McGraw-Hill; 2a ed.; 1973; 270 pag.; R$ 30
130; coleá∆o schaum matem†tica financeira; Frank Ayres Jr.; Editora McGraw-Hill; 2a ed.; 1971; 306 pag.; R$ 20
131; coleá∆o schaum matem†tica finita; Seymour Lipschutz; Editora McGraw-Hill; 3a ed.; 1977; 409 pag.; R$ 20
132; coleá∆o schaum mecÉnica; McLean e Nelson; Editora McGraw-Hill; 3a ed.; 1980; 443 pag.; R$ 25
133; coleá∆o schaum mecÉnica dos fluidos e hidr†ulica; Ranald V. Giles; Editora McGraw-Hill; 2a ed.; 1978; 401 pag.; R$ 25
134; coleá∆o schaum princ°pios digitais; Roger L. Tokheim; Editora Makron Books; 3a ed.; 1996; 533 pag.; R$ 20
135; coleá∆o schaum princ°pios digitais; Roger L. Tokheim; Editora Makron Books; 3a ed.; 1996; 533 pag.; R$ 20
136; coleá∆o schaum probabilidade; Seymour Lipschutz; Editora McGraw-Hill; 2a ed.; 1972; 228 pag.; R$ 20
137; coleá∆o schaum programando em c; Byron S. Gottfried; Editora Makron Books; 1a ed.; 1993; 574 pag.; R$ 50
138; coleá∆o schaum programaá∆o com basic; Byron S. Gottfried; Editora McGraw-Hill; 1a ed.; 1984; 322 pag.; R$ 20
139; coleá∆o schaum programaá∆o com java; John Hubbard; Editora Bookman; 2a ed.; 2006; 328 pag.; R$ 80
140; coleá∆o schaum programaá∆o em c++; John R. Hubbard; Editora Bookman; 2a ed.; 2003; 392 pag.; R$ 70
141; coleá∆o schaum programaá∆o em pascal; Byron S. Gottfried; Editora McGraw-Hill; 1a ed.; 1988; 388 pag.; R$ 25
142; coleá∆o schaum programaá∆o em pascal; Byron S. Gottfried; Editora McGraw-Hill; 2a ed.; 1994; 567 pag.; R$ 50
143; coleá∆o schaum qu°mica geral; Schaum/Rosenberg; Editora McGraw-Hill; 2a ed.; 1979; 372 pag.; R$ 30
144; coleá∆o schaum resistància dos materiais; William A. Nash; Editora McGraw-Hill; 3a ed.; 1982; 521 pag.; R$ 40
145; coleá∆o schaum teoria dos conjuntos; Seymour Lipschutz; Editora McGraw-Hill; 4a ed.; 1974; 337 pag.; R$ 20
146; coleá∆o schaum topologia geral; Seymour Lipschutz; Editora McGraw-Hill; 2a ed.; 1973; 301 pag.; R$ 30
147; coleá∆o schaum transformadas de laplace; Murray R. Spiegel; Editora McGraw-Hill; 2a ed.; 1975; 344 pag.; R$ 25
148; coleá∆o schaum trigonometria; Frank Ayres Jr.; Editora McGraw-Hill; 1a ed.; 1976; 203 pag.; R$ 30
149; coleá∆o schaum †lgebra booleana e circuitos de chaveamento; Elliott Mendelson; Editora McGraw-Hill; 1a ed.; 1977; 283 pag.; R$ 20
150; coleá∆o schaum †lgebra linear; Seymour Lipschutz; Editora McGraw-Hill; 1a ed.; 1973; 403 pag.; R$ 20
151; coleá∆o schaum †lgebra linear; Seymour Lipschutz; Editora McGraw-Hill; 2a ed.; 1978; 413 pag.; R$ 25
152; como construir uma casa; Roberto Chaves; Editora Ediouro; 1a ed.; 1991; 157 pag.; R$ 10
153; como fazer quase tudo; ; Editora Reader's Digest; 1a ed.; 1997; 471 pag.; R$ 30
154; como fazer uma monografia; DÇlcio Vieira Salomon; Editora Interlivros; 5a ed.; 1977; 317 pag.; R$ 20
155; compiladores: princ°pios e pr†ticas; Kenneth C. Louden; Editora Thomson; 1a ed.; 2004; 569 pag.; R$ 80
156; completo manual de jogos de cartas; Ely Culbertson; Editora Ibrasa; 1a ed.; 1962; 400 pag.; R$ 30
157; computabilidade e l¢gica; George S. Boolos... [et al.]; Editora Unesp; 1a ed.; 2012; 435 pag.; R$ 100
158; computabilidade, funá‰es comput†veis, l¢gica e fund. da matem†tica; Walter Carnielli e Richard L. Epstein; Editora UNESP; 2a ed.; 2009; 415 pag.; R$ 100
159; compàndio de religi‰es e espiritualidade; Leonardo A. Marques e Emilia A. dos S. Coutinho; Editora ÷cone; 1a ed.; 2010; 648 pag.; R$ 30
160; consertos r†pidos dos defeitos na casa; Arnaldo Belmiro; Editora Ediouro; 1a ed.; 1986; 137 pag.; R$ 5
161; construá‰es geomÇtricas: exerc°cios e soluá‰es; SÇrgio Lima Neto; Editora SBM; 1a ed.; 2009; 142 pag.; R$ 20
162; contabilidade; Maria do Socorro Gomes de Amorim; Editora ÷cone; 1a ed.; 2008; 736 pag.; R$ 10
163; contabilidade p£blica; Maria do Socorro Gomes de Amorim; Editora ÷cone; 1a ed.; 2008; 523 pag.; R$ 10
164; contos de vampiros cl†ssicos escolhidos; Fl†vio Moreira da Costa; Editora Ediouro; 1a ed.; 2009; 437 pag.; R$ 5
165; coordenadas no plano; Elon Lages Lima; Editora SBM; 5a ed.; 2011; 329 pag.; R$ 20
166; copacabana; S. Lobo e Odyr; Editora Desiderata; 1a ed.; 2009; 206 pag.; R$ 5
167; core html5 2d game programming; David Geary; Editora Prentice Hall; 1a ed.; 2015; 615 pag.; R$ 200
168; curso de an†lise vol. 1; Elon Lages Lima; Editora IMPA; 12a ed.; 2006; 431 pag.; R$ 20
169; curso de an†lise vol. 2; Elon lages Lima; Editora IMPA; 1a ed.; 1981; 557 pag.; R$ 20
170; curso de damas brasileiras livro primeiro; W. Bakumenko; Editora Gr†fica Urupàs; 1a ed.; 1968; 128 pag.; R$ 100
171; curso de eletrotÇcnica vol. 1 (livros 1, 2 e 3); Chester L. Dawes; Editora Globo; 14a ed.; 1976; 762 pag.; R$ 60
172; curso de eletrotÇcnica vol. 2 (livros 4, 5 e 6); Chester L. Daves; Editora Globo; 14a ed.; 1976; 700 pag.; R$ 60
173; curso de filosofia; RÇgis Jolivet; Editora Livraria Agir; 12a ed.; 1976; 445 pag.; R$ 15
174; curso de f°sica b†sica 1: mecÉnica; H. MoysÇs Nussenzveig; Editora Edgar Blucher; 4a ed.; 2002; 328 pag.; R$ 60
175; curso de f°sica b†sica 2: fluidos, oscilaá‰es e ondas, calor; H. MoysÇs Nussenzveig; Editora Edgar Blucher; 4a ed.; 2002; 314 pag.; R$ 60
176; curso de f°sica b†sica 3: eletromagnetismo; H. MoysÇs Nussenzveig; Editora Edgar Blucher; 1a ed.; 1997; 323 pag.; R$ 60
177; curso de f°sica b†sica 4: ¢ptica, relatividade, f°sica quÉntica; H. MoysÇs Nussenzveig; Editora Edgar Blucher; 1a ed.; 1998; 437 pag.; R$ 60
178; curso de f°sica: teoria do campo; L. Landau e E. Lifchitz; Editora Hemus; 1a ed.; ; 457 pag.; R$ 25
179; curso de matem†tica moderna; Antìnio Marmo de Oliveira e Agostinho Silva; Editora Lisa; 1a ed.; ; 740 pag.; R$ 30
180; curso pr†tico de teologia; Claudemir Pedroso de Silva; Editora PAE; 1a ed.; 2012; 470 pag.; R$ 50
181; c¢digos corretores de erros; Abramo Hefez e Maria L£cia T. Villela; Editora IMPA; 2a ed.; 2008; 216 pag.; R$ 20
182; defesa pessoal para briga de rua; Bruce Tegner; Editora Ediouro; 1a ed.; 1965; 63 pag.; R$ 50
183; desenvolva jogos com html5 canvas e javascript; êderson C†ssio; Editora Casa do C¢digo; 1a ed.; 2018; 213 pag.; R$ 60
184; deus existe?; Joseph Ratzinger e Paolo Flores d'Arcais; Editora Planeta; 1a ed.; 2009; 125 pag.; R$ 20
185; deus, um del°rio; Richard Dawkins; Editora Companhia das Letras; 1a ed.; 2011; 520 pag.; R$ 20
186; dicion†rio de administraá∆o de medicamentos na enfermagem; ; Editora Epub; 9a ed.; 2013; 710 pag.; R$ 10
187; dicion†rio de filosofia; Nicola Abbagnano; Editora WMF Martins Fontes; 6a ed.; 2012; 1210 pag.; R$ 50
188; dicion†rio de matem†tica; Luiz F. Cardoso; Editora Express∆o e Cultura; 1a ed.; 2001; 336 pag.; R$ 3
189; dicion†rio do latim essencial; Antìnio M. de Rezende e Sandra B. Bianchet; Editora Cris†lida/Tessitura; 1a ed.; 2005; 480 pag.; R$ 40
190; dicion†rio filos¢fico; Voltaire; Editora Escala; 1a ed.; 2008; 480 pag.; R$ 25
191; dicion†rio gramatical de latim; Janete M. Garcia e Jane Adriana R. O. de Castro; Editora UnB; 1a ed.; 2003; 168 pag.; R$ 25
192; dicion†rio universit†rio jur°dico; Deocleciano Torrieri Gumar∆es; Editora Ridel; 20a ed.; 2016; 423 pag.; R$ 20
193; did†tica da matem†tica; Beatriz Helena Magno; Editora Ediá‰es Consultor; 1a ed.; 1993; 150 pag.; R$ 10
194; direito constitucional e direito administrativo; Maria do Socorro Gomes de Amorim; Editora ÷cone; 1a ed.; 2008; 859 pag.; R$ 20
195; direito penal: quest‰es de concurso comentadas; Samir JosÇ Caetano Martins; Editora Campus/Elsevier; 4a ed.; 2009; 368 pag.; R$ 10
196; direito processual civil; M†rcia Conceiá∆o Alves Dinamarco; Editora Campus/Elsevier; 1a ed.; 2009; 329 pag.; R$ 10
197; discurso do mÇtodo; RenÇ Descartes; Editora Escala; 2a ed.; 2009; 76 pag.; R$ 5
198; discurso sobre as ciàncias e as artes/discurso sobre a origem e os fundamentos da desigualdade...; Jean-Jacques Rousseau; Editora Martin Claret; 1a ed.; 2010; 179 pag.; R$ 10
199; divertimentos matem†ticos; Martin Gardner; Editora Ibrasa; 4a ed.; 1998; 189 pag.; R$ 25
200; dona benta comer bem; ; Editora Companhia Editora Nacional; 76a ed.; 2007; 1101 pag.; R$ 100
201; dor: o que todo mÇdico deve saber; JosÇ Paulo Drummond; Editora Atheneu; 1a ed.; 2006; 106 pag.; R$ 20
202; elementos de an†lise numÇrica; S. D. Conte; Editora Globo; 1a ed.; 1977; 327 pag.; R$ 10
203; elementos de c†lculo diferencial e integral; W. A. Granville, P. F. Smith e W. R. Longley; Editora Cient°fica; 1a ed.; 1961; 703 pag.; R$ 10
204; elementos de geometria diferencial; Cesar Dacoro Neto e Nilza Rocha Leal; Editora Interciància; 2a ed.; 1978; 148 pag.; R$ 15
205; elementos de l¢gica; Primo Nunes de Andrade; Editora Ao Livro TÇcnico; 1a ed.; 1972; 244 pag.; R$ 20
206; elementos de †lgebra; L. H. Jacy Monteiro; Editora Ao Livro TÇcnico; 1a ed.; 1971; 552 pag.; R$ 20
207; eletrìnica: iniciaá∆o pr†tica; Forrest M. Mims III; Editora McGraw-Hill; 1a ed.; 1988; 138 pag.; R$ 25
208; enciclopÇdia da musculaá∆o; ‡scar Mor†n Esquerdo; Editora LEAP; 1a ed.; 2010; 345 pag.; R$ 70
209; enciclopÇdia de jogos; J. B. Pereira de Almeida; Editora ; 1a ed.; 1975; 288 pag.; R$ 10
210; enciclopÇdia dos pontos que curam; Dr. Roger Dalet; Editora Europa-AmÇrica; 1a ed.; ; 370 pag.; R$ 20
211; enciclopÇdia mirador internacional vol. 1 - 20; Antìnio Houaiss (editor chefe)... [et al.]; Editora Encyclopaedia Britannica do Brasil Publicaá‰es; 2a ed.; 1995; 11565 pag.; R$ 750
